"","V1"
"591","職涯規劃導引"
"592","稅法總論"
"593","公司理財"
"594","基因與疾病"
"595","雲端服務"
"596","電腦服務虛擬化實務"
"597","Web物聯網實務"
"598","Android 程式設計"
"599","流行音樂宣傳"
"600","國際公法(二)"
"601","原住民文化與藝術"
"602","生態藝術"
"603","德語(一)"
"604","輔導原理與實務"
"605","美食的真相"
"606","建築細部概論"
"607","空間.建築與都市"
"608","西方近代建築史概論"
"609","台灣傳統建築"
"610","哲學與生活"
"611","商業包裝設計基礎"
"612","美學一"
"613","民間藝術探源與賞析"
"614","語言與邏輯"
"615","商業空間設計"
"616","風水環境學"
"617","價值判斷與分析"
"618","景觀工程實習(二)"
"619","證券市場分析(一)"
"620","法院組織法"
"621","海商法"
"622","行政程序法"
"623","生命教育概論"
"624","創業標竿講座"
"625","國際法導論"
"626","銀行法"
"627","生命倫理學"
"628","生命科學概論"
"629","創業計畫與表達"
"630","特殊教育實習"
"631","自閉症學生教學策略"
"632","趣味數學"
"633","數學英文"
"634","抽樣方法"
"635","高等機率論"
"636","離散數學"
"637","專題研究(一)"
"638","臺灣鄉土小說選讀"
"639","幾何學"
"640","布袋戲與台灣文化"
"641","作業系統"
"642","行政學與公共管理"
"643","創業模擬經營實務"
"644","迴歸分析"
"645","線性代數（三）"
"646","生命與品格典範"
"647","日本國情與文化"
"648","科技管理導論"
"649","臺灣與世界"
"650","溝通與口語創意表達"
"651","國防軍訓-國際情勢"
"652","光電與材料專題（二）"
"653","數據科學導論"
"654","高等物理數學(一)"
"655","廣義相對論"
"656","歌唱技巧入門"
"657","物理專題(二)"
"658","音樂與情緒管理"
"659","哲學概論"
"660","國防軍訓-國防政策"
"661","認識星空"
"662","電子儀器與光電檢測"
"663","化學英文"
"664","專題研究(F)"
"665","科學與倫理"
"666","基本研究方法"
"667","應用微生物學"
"668","食品化學"
"669","宗教音樂賞析"
"670","再生能源與儲存技術"
"671","化學工業程序"
"672","音樂劇賞析"
"673","薄膜科學"
"674","中醫與保健"
"675","楚漢相爭之職場競爭力"
"676","環境管理"
"677","優質網路生活"
"678","流體力學(二)"
"679","土木工程競賽專題"
"680","愛情關係管理"
"681","環境與幸福生活"
"682","鍵盤樂"
"683","工程倫理"
"684","未來資訊概論"
"685","軟體工程"
"686","基督教信仰與婚姻觀"
"687","浪漫時期音樂賞析"
"688","作業環境控制工程"
"689","工業安全管理應用統計"
"690","職場軟實力"
"691","生活中的預防醫學"
"692","微電腦應用"
"693","自動化概論"
"694","醫工英文(二)"
"695","生醫感測模組整合應用"
"696","生物輸送原理"
"697","訊號與系統"
"698","材料科學"
"699","醫學影像系統"
"700","醫材法規標準與認證"
"701","通識教育講座"
"702","JAVA物件導向程式設計"
"703","網路工程"
"704","心理健康與調適"
"705","數位晶片設計及實作"
"706","CMOS電路模擬與設計"
"707","日本語言與文化"
"708","數位通信"
"709","Matlab程式設計"
"710","系統安全"
"711","國際現勢"
"712","印尼語(一)"
"713","認識中國崛起"
"714","智慧電子專題(二)"
"715","臺灣民間音樂賞析"
"716","工業日文(一)"
"717","建築表現法"
"718","環境景觀概論"
"719","哲學與思考"
"720","永續發展導論"
"721","太陽能電池導論"
"722","資料探勘導論"
"723","從數據分析到知識分析"
"724","政治學與當代生活"
"725","攝影的藝術"
"726","網際網路程式設計"
"727","創新創業實習"
"728","街頭行動藝術"
"729","搖滾年代"
"730","食品與健康"
"731","工程與法律"
"732","時空簡史"
"733","企業資源規劃導論"
"734","物聯網整合應用與實作"
"735","開放系統管理實務"
"736","UNIX系統導論"
"737","動漫文學"
"738","行政法與公共事務"
"739","科技災害導論"
"740","電力實驗(A)"
"741","微型電網"
"742","國際專題設計實務"
"743","創意思解"
"744","C++程式設計"
"745","計算機網路"
"746","建築結構與造型"
"747","文化資產保存特論"
"748","文化資產保存與再利用"
"749","電腦輔助設計(一)"
"750","行為控制學"
"751","照明學"
"752","家具設計(一)"
"753","廣播錄音工程"
"754","室內設計從業實務解析"
"755","關懷設計"
"756","插畫與繪本創作一"
"757","數位媒體創作(一)"
"758","數位出版"
"759","設計實習"
"760","品牌設計"
"761","生態藝術"
"762","基礎敘事影片製作"
"763","文化造形設計"
"764","商業攝影實務一"
"765","設計倫理"
"766","案例研究方法與分析"
"767","西洋兒童文學名著選讀"
"768","生態規劃與原理"
"769","東南亞政治與社會"
"770","電腦輔助繪圖(二)"
"771","室內設計用詞表達形式"
"772","服務業行銷"
"773","銀行管理"
"774","工藝與生活美學"
"775","保險學"
"776","管理會計"
"777","高科技產業分析"
"778","商管專業服務學習(一)"
"779","中小企業投資實務"
"780","全球氣候變遷"
"781","藝術概論"
"782","敷地計畫實習"
"783","植栽設計實習(一)"
"784","景觀設計表現法實習"
"785","國際行銷管理"
"786","文化創意產業講座"
"787","餐飲工作觀"
"788","中小企業經營策略"
"789","績效管理"
"790","大陸台商管理個案研討"
"791","韓國語言與文化"
"792","商用日文(三)"
"793","不動產經營管理講座"
"794","進階商業英文"
"795","國際人力資源管理專題"
"796","會計時事議題研討(二)"
"797","國防軍訓-防衛動員"
"798","企業評價"
"799","財務金融理論與應用"
"800","租稅申報實務"
"801","投資學"
"802","專業英語溝通技能"
"803","韓國語入門"
"804","政府會計"
"805","非營利財務管理"
"806","金融講堂"
"807","聖經中的經濟智慧"
"808","觀看與影像實踐"
"809","財產及土地稅法"
"810","iOS應用程式開發"
"811","商用日文 (一)"
"812","樹莓派機器人應用"
"813","財務管理資訊系統"
"814","國防軍訓-全民國防"
"815","義大利歌劇賞析"
"816","飲食自覺與營養管理"
"817","行銷管理資訊系統"
"818","創業實務"
"819","CCNA企業網路"
"820","展示設計"
"821","視覺傳播"
